City Name,Name of Police Station,Address,Longitude,Latitude
Tiruchirapalli,Airport Police Station,"Tiruchirapalli Airport, Pudukottai Cross Road, Trichy, Tamil Nadu, India- 620007",10.7589,78.7078
Tiruchirapalli,Ariyamangalam Police Station,"Ariyamangalam, Trichy, Tamil Nadu, India- 620001",10.8093,78.7237
Tiruchirapalli,C.b.c.i.d Police Station,"No.2, Near Jamal Mohamed College, Khaja Main Street, Trichy, Tamil Nadu, India- 620020",10.78388,78.6895
Tiruchirapalli,Cantonment Police Station,"Benwells Road, Sangillyandapuram, Trichy, Tamil Nadu, India- 620001",10.807,78.6826
Tiruchirapalli,Edamalaipatty Pudur Police Station,"Edamalaipatty, Pudur, Trichy, Tamil Nadu, India- 620012",10.7801,78.6732
Tiruchirapalli,Fort Police Station,"Town Hall, Near Taluk Office, Rock Fort, Trichy, Tamil Nadu, India- 620002",10.8245,78.6961
Tiruchirapalli,Gandhi Market Police Station,"Gandhi Market Police Station, Trichy, Tamil Nadu, India- 621001",10.816,78.6944
Tiruchirapalli,Government Hospital Police Station,"Government Hospital, Trichy, Tamil Nadu, India- 620007",10.81232,78.67878
Tiruchirapalli,Inamkulathur Police Station,"Inamkulathur, Trichy, Tamil Nadu, India- 621303",10.70374,78.55031
Tiruchirapalli,Jeeyapuram Police Station,"Jeeyapuram, Trichy, Tamil Nadu, India- 620001",10.8727,78.602
Tiruchirapalli,Kattupputhur Police Station,"Kattupputhur, Trichy, Tamil Nadu, India- 621207",10.996,78.2191
Tiruchirapalli,Lalgudi Police Station,"Lalgudi, Trichy, Tamil Nadu, India- 621601",10.8799,78.8171
Tiruchirapalli,Manachanallur Police Station,"Manachanallur, Trichy, Tamil Nadu, India- 621005",10.91172,78.69874
Tiruchirapalli,Manikandam Police Station,"Manikandam, Trichy, Tamil Nadu, India- 620051",10.7373,78.63352
Tiruchirapalli,Navalpattu Police Station,"Near OFT Factory, Anna Nagar, Trichy, Tamil Nadu, India- 620013",10.7257,78.7617
Tiruchirapalli,Palakkarai Police Station,"Palakkarai, Trichy, Tamil Nadu, India- 620001",10.8071,78.6971
Tiruchirapalli,Pettavaithalai Police Station,"Pettavaithalai, Trichy, Tamil Nadu, India- 639112",10.8988,78.4976
Tiruchirapalli,Ponmalai Railway Police Station,"Ponmalai Railway Station Road, Ponmalaipatti, Trichy, Tamil Nadu, India- 620001",10.7802,78.7154
Tiruchirapalli,Ramji Nagar Police Station,"Ramji Nagar, Trichy, Tamil Nadu, India- 620009",10.7574,78.6095
Tiruchirapalli,Samayapuram Police Station,"Samayapuram, Trichy, Tamil Nadu, India- 621112",10.9199,78.7414
Tiruchirapalli,Senthaneerpuram Police Station,"Senthaneerpuram, Trichy, Tamil Nadu, India- 620004",10.79646,78.70909
Tiruchirapalli,Siruganur Police Station,"Siruganur, Trichy, Tamil Nadu, India- 621105",11.0159,78.7952
Tiruchirapalli,Somarasampettai Police Station,"1/104, Near St.Joseph School, Somarasampettai, Trichy, Tamil Nadu, India- 620102",10.8163,78.63673
Tiruchirapalli,Srirangam Police Station,"Amma Mantapam Road, Srirangam, Trichy, Tamil Nadu, India- 620002",10.8572,78.6898
Tiruchirapalli,Thillai Nagar Police Station,"Thillai Nagar, Trichy, Tamil Nadu, India- 620003",10.8133,78.6838
Tiruchirapalli,Thuvakudi Police Station,"Thanjavur Road, Thuvakudi, Trichy, Tamil Nadu, India- 620015",10.7524,78.8229
Tiruchirapalli,Woraiyur Police Station,"No: 24, Near Vekkali Amman Koil, Woraiyur, Trichy, Tamil Nadu, India- 620003",10.8257,78.6732
Tiruchirapalli,Women Police Station,"Lalkudi, Trichy, Tamil Nadu, India- 621729",10.8072,78.6829
Tiruchirapalli,Tennur Police Station,"Bishop Rd, Anna Nagar, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017",10.819,78.6825
Tiruchirapalli,Ponnagar police station,"QMVG+2XV, Jaya Nagar Extension, Ponnagar Extension, Karumandapam, Tiruchirappalli, Tamil Nadu 620001",10.7948,78.6772
